Eddard,Stark, GoldenKing@westeros.net,R&D,101
Benjen,Stark, GoldenKing@westeros.net,Auditing,602
Catelyn,Stark, GoldenKing@westeros.net,HR,303
Arya,Stark, GoldenKing@westeros.net,R&D,104
Robb,Stark, GoldenKing@westeros.net,R&D,105
Sansa,Stark, GoldenKing@westeros.net,R&D,106
Bran,Stark, GoldenKing@westeros.net,R&D,107
Rickon,Stark, GoldenKing@westeros.net,R&D,108
Jon,Snow, GoldenKing@westeros.net,Auditing,609
Tyrion,Lannister, GoldenKing@westeros.net,Accounting,410
Jaime,Lannister, GoldenKing@westeros.net,Accounting,411
Cersei,Lannister, GoldenKing@westeros.net,Accounting,412
Robert,Baratheon, GoldenKing@westeros.net,Sales,513
Stannis,Baratheon, GoldenKing@westeros.net,Sales,514
Renly,Baratheon, GoldenKing@westeros.net,Sales,515
Daenerys,Targaryen, GoldenKing@westeros.net,Marketing,216
Viserys,Targaryen, GoldenKing@westeros.net,Marketing,217
